instance,path,call_index,net_line_shift_from_own_earlier_edits
django__django-13406,django/db/models/query.py,149,13
django__django-13417,django/db/models/query.py,61,1
django__django-13568,django/contrib/auth/checks.py,34,1
django__django-13568,django/contrib/auth/checks.py,58,7
django__django-13568,django/contrib/auth/checks.py,59,6
django__django-13590,django/db/models/sql/query.py,4,5
django__django-13590,django/db/models/sql/query.py,19,5
django__django-13741,django/contrib/auth/forms.py,22,1
django__django-13794,django/template/defaultfilters.py,32,1
django__django-13809,django/core/management/commands/runserver.py,25,4
django__django-13809,django/core/management/commands/runserver.py,27,3
django__django-13820,django/db/migrations/loader.py,22,2
django__django-13837,django/utils/autoreload.py,51,-1
django__django-13964,django/db/models/base.py,23,1
django__django-13964,django/db/models/base.py,48,2
django__django-13964,django/db/models/base.py,60,2
django__django-14007,django/db/models/sql/compiler.py,32,5
django__django-14011,tests/servers/views.py,76,8
django__django-14011,django/test/testcases.py,96,10
django__django-14053,django/contrib/staticfiles/storage.py,36,4
django__django-14122,django/db/models/sql/compiler.py,55,2
django__django-14122,django/db/models/sql/compiler.py,57,2
django__django-14122,django/db/models/sql/compiler.py,62,-1
django__django-14122,django/db/models/sql/compiler.py,64,-2
django__django-14155,django/urls/resolvers.py,50,5
django__django-14559,django/db/models/query.py,11,2
django__django-14559,django/db/models/query.py,12,3
django__django-14631,django/forms/boundfield.py,17,1
django__django-14631,django/forms/forms.py,19,2
django__django-14725,django/forms/models.py,31,7
django__django-14725,django/forms/models.py,32,8
django__django-14725,django/forms/models.py,33,9
django__django-14725,django/forms/models.py,34,10
django__django-14725,docs/ref/forms/models.txt,48,3
django__django-14725,docs/ref/forms/models.txt,50,3
django__django-14725,docs/ref/forms/models.txt,85,6
django__django-14771,django/utils/autoreload.py,22,2
django__django-14771,django/utils/autoreload.py,48,2
django__django-14771,django/utils/autoreload.py,67,2
django__django-14787,django/utils/decorators.py,56,3
django__django-14792,django/utils/timezone.py,76,5
django__django-14792,django/utils/timezone.py,77,5
django__django-14999,django/db/migrations/operations/models.py,106,5
django__django-14999,django/db/migrations/operations/models.py,113,7
django__django-15037,/tmp/repro_inspectdb2.py,62,5
django__django-15037,/tmp/repro_inspectdb2.py,67,6
django__django-15098,django/utils/translation/trans_real.py,78,5
django__django-15127,django/contrib/messages/storage/base.py,12,-2
django__django-15128,django/db/models/sql/query.py,22,2
django__django-15128,django/db/models/sql/query.py,24,2
django__django-15128,,25,2
django__django-15128,django/db/models/sql/query.py,26,4
django__django-15128,django/db/models/sql/query.py,27,9
django__django-15161,django/db/models/expressions.py,43,1
django__django-15161,django/db/models/expressions.py,44,2
django__django-15161,django/db/models/expressions.py,45,3
django__django-15161,django/db/models/expressions.py,46,4
django__django-15161,django/db/models/expressions.py,47,5
django__django-15161,django/db/models/expressions.py,48,6
django__django-15161,django/db/models/expressions.py,49,7
django__django-15161,django/db/models/expressions.py,50,7
django__django-15161,django/db/models/expressions.py,51,8
django__django-15161,django/db/models/expressions.py,52,9
django__django-15161,django/db/models/expressions.py,53,10
django__django-15161,django/db/models/expressions.py,54,11
django__django-15161,django/db/models/expressions.py,55,12
django__django-15161,django/db/models/expressions.py,57,13
django__django-15161,django/db/models/expressions.py,60,14
django__django-15161,django/db/models/expressions.py,61,14
django__django-15161,django/db/models/expressions.py,62,15
django__django-15161,django/db/models/expressions.py,63,16
django__django-15161,django/db/models/expressions.py,64,17
django__django-15161,django/db/models/expressions.py,65,18
django__django-15161,django/db/models/expressions.py,66,19
django__django-15161,django/db/models/expressions.py,67,20
django__django-15161,django/db/models/expressions.py,68,21
django__django-15161,django/db/models/expressions.py,69,22
django__django-15161,django/db/models/expressions.py,70,23
django__django-15268,django/db/migrations/operations/models.py,47,7
django__django-15280,django/db/models/fields/related_descriptors.py,60,1
django__django-15280,django/db/models/fields/related_descriptors.py,61,2
django__django-15382,django/db/models/expressions.py,89,5
django__django-15382,django/db/models/expressions.py,104,6
django__django-15382,django/db/models/expressions.py,105,5
django__django-15382,django/db/models/expressions.py,111,9
django__django-15503,django/db/models/fields/json.py,50,-3
django__django-15503,django/db/models/fields/json.py,52,1
django__django-15503,django/db/models/fields/json.py,54,-3
django__django-15503,django/db/models/fields/json.py,56,8
django__django-15503,django/db/models/fields/json.py,58,11
django__django-15554,django/db/models/sql/query.py,92,10
django__django-15554,django/db/models/sql/query.py,93,11
django__django-15554,django/db/models/sql/query.py,94,12
django__django-15554,django/db/models/sql/query.py,95,13
django__django-15554,django/db/models/sql/query.py,96,18
django__django-15554,django/db/models/sql/query.py,116,22
django__django-15554,django/db/models/sql/query.py,124,28
django__django-15563,django/db/models/sql/compiler.py,55,4
django__django-15731,django/db/models/manager.py,7,1
django__django-15916,django/forms/models.py,20,4
django__django-15957,django/db/models/fields/related_descriptors.py,68,2
django__django-15957,django/db/models/fields/related_descriptors.py,69,4
django__django-15957,django/db/models/fields/related_descriptors.py,71,6
django__django-15957,django/contrib/contenttypes/fields.py,73,1
django__django-15957,django/db/models/query.py,82,18
django__django-15957,django/contrib/contenttypes/fields.py,84,4
django__django-15957,django/db/models/fields/related_descriptors.py,102,9
django__django-15957,django/db/models/query.py,106,18
django__django-15957,django/db/models/query.py,119,19
django__django-15957,django/contrib/contenttypes/fields.py,120,6
django__django-15957,django/db/models/query.py,122,18
django__django-16256,django/db/models/fields/related_descriptors.py,19,2
django__django-16256,django/db/models/fields/related_descriptors.py,20,17
django__django-16263,django/db/models/sql/query.py,91,64
django__django-16263,django/db/models/sql/query.py,108,70
django__django-16263,django/db/models/sql/query.py,123,75
django__django-16263,django/db/models/sql/query.py,124,104
django__django-16263,django/db/models/sql/query.py,129,114
django__django-16263,django/db/models/sql/query.py,132,116
django__django-16315,django/db/models/sql/compiler.py,71,6
django__django-16454,django/core/management/base.py,50,17
django__django-16454,django/core/management/base.py,54,32
django__django-16454,django/core/management/base.py,57,35
django__django-16454,django/core/management/base.py,76,33
django__django-16502,django/core/servers/basehttp.py,40,11
django__django-16502,django/core/servers/basehttp.py,43,12
django__django-16560,django/db/models/constraints.py,10,6
django__django-16560,django/db/models/constraints.py,11,10
django__django-16560,django/db/models/constraints.py,12,18
django__django-16560,django/db/models/constraints.py,13,24
django__django-16560,django/db/models/constraints.py,14,34
django__django-16560,django/db/models/constraints.py,15,35
django__django-16560,django/db/models/constraints.py,16,39
django__django-16560,django/db/models/constraints.py,17,46
django__django-16560,django/contrib/postgres/constraints.py,19,1
django__django-16560,django/contrib/postgres/constraints.py,20,5
django__django-16560,docs/ref/models/constraints.txt,31,8
django__django-16560,docs/ref/models/constraints.txt,32,8
django__django-16560,docs/ref/models/constraints.txt,33,8
django__django-16612,/tmp/repro.py,17,-3
django__django-16631,django/contrib/auth/__init__.py,49,4
django__django-16877,docs/releases/4.2.txt,44,-1
django__django-17084,django/db/models/sql/query.py,49,1
matplotlib__matplotlib-14623,lib/matplotlib/ticker.py,46,4
matplotlib__matplotlib-14623,lib/matplotlib/ticker.py,47,6
matplotlib__matplotlib-14623,lib/matplotlib/ticker.py,51,8
matplotlib__matplotlib-14623,lib/matplotlib/ticker.py,53,9
matplotlib__matplotlib-20488,lib/matplotlib/image.py,18,2
matplotlib__matplotlib-20488,lib/matplotlib/image.py,29,3
matplotlib__matplotlib-20488,lib/matplotlib/image.py,30,1
matplotlib__matplotlib-20488,lib/matplotlib/image.py,60,2
matplotlib__matplotlib-20676,lib/matplotlib/widgets.py,76,14
matplotlib__matplotlib-20676,lib/matplotlib/widgets.py,99,17
matplotlib__matplotlib-20826,lib/matplotlib/axes/_base.py,41,-29
matplotlib__matplotlib-20826,lib/matplotlib/axes/_base.py,42,4
matplotlib__matplotlib-20826,lib/matplotlib/axes/_base.py,49,20
matplotlib__matplotlib-20826,lib/matplotlib/axes/_base.py,54,20
matplotlib__matplotlib-20826,lib/matplotlib/axes/_base.py,55,23
matplotlib__matplotlib-20826,lib/matplotlib/axes/_base.py,78,23
matplotlib__matplotlib-20826,lib/matplotlib/axes/_subplots.py,80,1
matplotlib__matplotlib-21568,lib/matplotlib/dates.py,101,3
matplotlib__matplotlib-22719,lib/matplotlib/units.py,36,3
matplotlib__matplotlib-22865,lib/matplotlib/colorbar.py,34,7
matplotlib__matplotlib-23299,lib/matplotlib/__init__.py,36,6
matplotlib__matplotlib-24026,lib/matplotlib/stackplot.py,46,2
matplotlib__matplotlib-24026,lib/matplotlib/stackplot.py,47,5
matplotlib__matplotlib-24026,lib/matplotlib/stackplot.py,69,5
matplotlib__matplotlib-24627,lib/matplotlib/figure.py,53,5
matplotlib__matplotlib-24627,lib/matplotlib/figure.py,54,6
matplotlib__matplotlib-24627,lib/matplotlib/axes/_base.py,63,6
matplotlib__matplotlib-24627,lib/matplotlib/axes/_base.py,67,9
matplotlib__matplotlib-24627,lib/matplotlib/axes/_base.py,87,9
matplotlib__matplotlib-24627,lib/matplotlib/axes/_base.py,88,10
matplotlib__matplotlib-24870,lib/matplotlib/contour.py,22,3
matplotlib__matplotlib-24870,lib/matplotlib/contour.py,23,3
matplotlib__matplotlib-24870,lib/matplotlib/contour.py,25,3
matplotlib__matplotlib-24970,lib/matplotlib/colors.py,45,6
matplotlib__matplotlib-25287,lib/matplotlib/axis.py,25,3
matplotlib__matplotlib-25287,lib/matplotlib/axis.py,32,6
matplotlib__matplotlib-25311,lib/matplotlib/offsetbox.py,39,18
matplotlib__matplotlib-25311,lib/matplotlib/offsetbox.py,58,3
matplotlib__matplotlib-25311,lib/matplotlib/offsetbox.py,102,26
matplotlib__matplotlib-25332,lib/matplotlib/cbook.py,36,11
matplotlib__matplotlib-25775,lib/matplotlib/text.py,48,1
matplotlib__matplotlib-25775,lib/matplotlib/text.py,49,7
matplotlib__matplotlib-25775,lib/matplotlib/text.py,50,19
matplotlib__matplotlib-25775,lib/matplotlib/text.py,51,19
matplotlib__matplotlib-25775,lib/matplotlib/text.pyi,69,1
matplotlib__matplotlib-25775,lib/matplotlib/backends/backend_cairo.py,106,1
matplotlib__matplotlib-25775,lib/matplotlib/text.py,131,20
matplotlib__matplotlib-25775,lib/matplotlib/text.py,132,21
matplotlib__matplotlib-25775,lib/matplotlib/text.py,150,21
matplotlib__matplotlib-25775,lib/matplotlib/text.py,153,22
matplotlib__matplotlib-25775,lib/matplotlib/text.pyi,154,2
matplotlib__matplotlib-25960,lib/matplotlib/figure.py,76,2
matplotlib__matplotlib-25960,lib/matplotlib/figure.py,77,3
matplotlib__matplotlib-26208,lib/matplotlib/axes/_base.py,88,4
matplotlib__matplotlib-26291,lib/mpl_toolkits/axes_grid1/inset_locator.py,44,1
matplotlib__matplotlib-26291,lib/matplotlib/offsetbox.py,45,1
matplotlib__matplotlib-26342,lib/matplotlib/contour.pyi,33,1
mwaskom__seaborn-3069,seaborn/_core/scales.py,78,1
mwaskom__seaborn-3069,seaborn/_core/plot.py,79,15
mwaskom__seaborn-3069,seaborn/_core/plot.py,80,10
mwaskom__seaborn-3187,seaborn/_core/scales.py,72,1
psf__requests-6028,requests/utils.py,69,4
pydata__xarray-3151,xarray/core/combine.py,14,-1
pydata__xarray-3305,xarray/core/variable.py,24,4
pydata__xarray-3993,xarray/core/dataarray.py,18,12
pydata__xarray-4687,xarray/core/computation.py,63,2
pydata__xarray-6721,doc/whats-new.rst,48,3
pydata__xarray-6938,xarray/core/dataset.py,31,-1
pydata__xarray-7229,doc/whats-new.rst,74,3
pydata__xarray-7393,xarray/core/indexing.py,55,2
pylint-dev__pylint-4551,pylint/pyreverse/inspector.py,60,30
pylint-dev__pylint-4661,pylint/config/__init__.py,40,2
pylint-dev__pylint-4661,pylint/config/__init__.py,41,2
pylint-dev__pylint-4661,pylint/config/__init__.py,42,2
pylint-dev__pylint-4661,pylint/config/__init__.py,61,2
pylint-dev__pylint-4970,pylint/checkers/similar.py,116,2
pylint-dev__pylint-4970,pylint/checkers/similar.py,117,5
pylint-dev__pylint-4970,pylint/checkers/similar.py,118,7
pylint-dev__pylint-6386,pylint/config/utils.py,32,1
pylint-dev__pylint-6528,pylint/lint/pylinter.py,38,13
pylint-dev__pylint-6528,pylint/lint/pylinter.py,41,13
pylint-dev__pylint-6528,pylint/lint/pylinter.py,74,18
pylint-dev__pylint-6528,pylint/lint/pylinter.py,91,27
pylint-dev__pylint-7277,pylint/__init__.py,8,4
pytest-dev__pytest-10051,src/_pytest/logging.py,13,4
pytest-dev__pytest-10081,src/_pytest/unittest.py,26,2
pytest-dev__pytest-10356,src/_pytest/mark/structures.py,37,18
pytest-dev__pytest-10356,src/_pytest/mark/structures.py,38,18
pytest-dev__pytest-10356,src/_pytest/mark/structures.py,39,19
pytest-dev__pytest-10356,src/_pytest/mark/structures.py,44,19
pytest-dev__pytest-5787,src/_pytest/reports.py,38,1
pytest-dev__pytest-5787,src/_pytest/reports.py,39,16
pytest-dev__pytest-5787,src/_pytest/reports.py,68,42
pytest-dev__pytest-5787,src/_pytest/reports.py,89,42
pytest-dev__pytest-5840,src/_pytest/config/__init__.py,57,1
pytest-dev__pytest-7205,src/_pytest/setuponly.py,6,1
pytest-dev__pytest-7205,src/_pytest/setuponly.py,11,1
pytest-dev__pytest-7236,src/_pytest/unittest.py,45,2
pytest-dev__pytest-7236,src/_pytest/unittest.py,62,7
pytest-dev__pytest-7324,src/_pytest/mark/expression.py,41,1
pytest-dev__pytest-7571,src/_pytest/logging.py,18,5
scikit-learn__scikit-learn-10297,sklearn/linear_model/ridge.py,8,6
scikit-learn__scikit-learn-11310,sklearn/model_selection/_search.py,11,1
scikit-learn__scikit-learn-11310,sklearn/model_selection/_search.py,12,4
scikit-learn__scikit-learn-11310,sklearn/model_selection/_search.py,16,9
scikit-learn__scikit-learn-11578,sklearn/linear_model/logistic.py,19,1
scikit-learn__scikit-learn-12682,sklearn/decomposition/dict_learning.py,22,2
scikit-learn__scikit-learn-12682,sklearn/decomposition/dict_learning.py,23,3
scikit-learn__scikit-learn-12682,sklearn/decomposition/dict_learning.py,24,8
scikit-learn__scikit-learn-12682,sklearn/decomposition/dict_learning.py,25,9
scikit-learn__scikit-learn-12682,sklearn/decomposition/dict_learning.py,27,9
scikit-learn__scikit-learn-12682,sklearn/decomposition/dict_learning.py,28,14
scikit-learn__scikit-learn-12682,sklearn/decomposition/dict_learning.py,30,15
scikit-learn__scikit-learn-12682,sklearn/decomposition/dict_learning.py,31,20
scikit-learn__scikit-learn-13496,sklearn/ensemble/iforest.py,11,4
scikit-learn__scikit-learn-14053,sklearn/tree/export.py,6,1
scikit-learn__scikit-learn-14087,sklearn/linear_model/logistic.py,41,3
scikit-learn__scikit-learn-25102,sklearn/utils/_set_output.py,56,8
scikit-learn__scikit-learn-25102,sklearn/utils/_set_output.py,62,9
scikit-learn__scikit-learn-25102,sklearn/utils/_set_output.py,113,9
scikit-learn__scikit-learn-25232,sklearn/impute/_iterative.py,26,8
scikit-learn__scikit-learn-25232,sklearn/impute/_iterative.py,27,9
scikit-learn__scikit-learn-25232,sklearn/impute/_iterative.py,28,11
scikit-learn__scikit-learn-25973,sklearn/feature_selection/_sequential.py,20,2
scikit-learn__scikit-learn-25973,sklearn/feature_selection/_sequential.py,21,2
sphinx-doc__sphinx-10449,sphinx/ext/autodoc/typehints.py,29,2
sphinx-doc__sphinx-10449,CHANGES,44,3
sphinx-doc__sphinx-10614,sphinx/ext/inheritance_diagram.py,37,1
sphinx-doc__sphinx-10673,sphinx/environment/adapters/toctree.py,74,7
sphinx-doc__sphinx-10673,sphinx/directives/other.py,83,5
sphinx-doc__sphinx-10673,sphinx/directives/other.py,130,6
sphinx-doc__sphinx-11510,sphinx/directives/other.py,105,3
sphinx-doc__sphinx-7440,sphinx/domains/std.py,45,-1
sphinx-doc__sphinx-7440,sphinx/domains/std.py,53,-3
sphinx-doc__sphinx-7440,sphinx/domains/std.py,58,-5
sphinx-doc__sphinx-7590,sphinx/domains/cpp.py,37,17
sphinx-doc__sphinx-7590,sphinx/domains/cpp.py,70,44
sphinx-doc__sphinx-7590,sphinx/domains/cpp.py,72,44
sphinx-doc__sphinx-7590,sphinx/domains/cpp.py,76,45
sphinx-doc__sphinx-7748,sphinx/ext/autodoc/__init__.py,29,13
sphinx-doc__sphinx-7748,sphinx/ext/autodoc/__init__.py,30,14
sphinx-doc__sphinx-7748,sphinx/ext/autodoc/__init__.py,31,19
sphinx-doc__sphinx-7748,sphinx/ext/autodoc/__init__.py,33,24
sphinx-doc__sphinx-7748,sphinx/ext/autodoc/__init__.py,34,24
sphinx-doc__sphinx-7748,sphinx/ext/autodoc/__init__.py,35,24
sphinx-doc__sphinx-7757,sphinx/util/inspect.py,42,4
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,57,1
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,59,9
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,63,66
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,64,66
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,70,66
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,71,73
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,74,73
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,77,62
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,91,65
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,95,65
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,96,65
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,101,65
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,102,65
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,114,65
sphinx-doc__sphinx-7985,sphinx/builders/linkcheck.py,115,65
sphinx-doc__sphinx-8035,sphinx/ext/autodoc/__init__.py,37,13
sphinx-doc__sphinx-8035,sphinx/ext/autodoc/__init__.py,38,23
sphinx-doc__sphinx-8035,sphinx/ext/autodoc/__init__.py,39,24
sphinx-doc__sphinx-8035,doc/usage/extensions/autodoc.rst,83,7
sphinx-doc__sphinx-8035,CHANGES,103,1
sphinx-doc__sphinx-8548,sphinx/ext/autodoc/__init__.py,74,28
sphinx-doc__sphinx-8548,sphinx/ext/autodoc/__init__.py,76,28
sphinx-doc__sphinx-8548,sphinx/ext/autodoc/__init__.py,77,28
sphinx-doc__sphinx-8548,sphinx/ext/autodoc/__init__.py,97,28
sphinx-doc__sphinx-8593,sphinx/ext/autodoc/__init__.py,51,3
sphinx-doc__sphinx-9320,sphinx/cmd/quickstart.py,16,6
sphinx-doc__sphinx-9461,sphinx/ext/autodoc/importer.py,75,9
sphinx-doc__sphinx-9461,sphinx/ext/autodoc/__init__.py,76,21
sphinx-doc__sphinx-9602,sphinx/domains/python.py,61,11
sphinx-doc__sphinx-9602,sphinx/domains/python.py,69,6
sphinx-doc__sphinx-9711,sphinx/extension.py,29,2
sympy__sympy-12096,sympy/core/function.py,41,3
sympy__sympy-12481,sympy/combinatorics/permutations.py,25,-4
sympy__sympy-13031,sympy/matrices/sparse.py,59,1
sympy__sympy-13031,sympy/matrices/sparse.py,67,2
sympy__sympy-13551,sympy/concrete/products.py,50,4
sympy__sympy-13551,sympy/concrete/products.py,52,4
sympy__sympy-13551,sympy/concrete/products.py,60,4
sympy__sympy-13615,sympy/sets/sets.py,72,13
sympy__sympy-13757,sympy/polys/polytools.py,25,2
sympy__sympy-13798,sympy/printing/latex.py,13,2
sympy__sympy-13852,sympy/functions/special/zeta_functions.py,10,2
sympy__sympy-13852,sympy/functions/special/zeta_functions.py,35,2
sympy__sympy-13878,sympy/stats/crv_types.py,44,1
sympy__sympy-13878,sympy/stats/crv_types.py,45,9
sympy__sympy-13878,sympy/stats/crv_types.py,46,16
sympy__sympy-13878,sympy/stats/crv_types.py,48,23
sympy__sympy-13878,sympy/stats/crv_types.py,49,30
sympy__sympy-13878,sympy/stats/crv_types.py,50,37
sympy__sympy-13878,sympy/stats/crv_types.py,51,45
sympy__sympy-13878,sympy/stats/crv_types.py,52,52
sympy__sympy-13878,sympy/stats/crv_types.py,53,56
sympy__sympy-13878,sympy/stats/crv_types.py,54,63
sympy__sympy-13878,sympy/stats/crv_types.py,55,68
sympy__sympy-13878,sympy/stats/crv_types.py,60,74
sympy__sympy-13878,sympy/stats/crv_types.py,77,74
sympy__sympy-13974,sympy/physics/quantum/tensorproduct.py,35,3
sympy__sympy-13974,sympy/physics/quantum/tensorproduct.py,51,3
sympy__sympy-13974,sympy/core/power.py,65,7
sympy__sympy-14248,sympy/printing/str.py,70,1
sympy__sympy-14248,sympy/printing/str.py,122,18
sympy__sympy-14248,sympy/printing/latex.py,124,15
sympy__sympy-14248,sympy/printing/pretty/pretty.py,126,32
sympy__sympy-14248,sympy/printing/str.py,132,18
sympy__sympy-15017,sympy/tensor/array/sparse_ndim_array.py,69,3
sympy__sympy-15017,sympy/tensor/array/ndim_array.py,78,2
sympy__sympy-15017,sympy/tensor/array/sparse_ndim_array.py,97,3
sympy__sympy-15017,sympy/tensor/array/ndim_array.py,98,5
sympy__sympy-15017,sympy/tensor/array/sparse_ndim_array.py,113,3
sympy__sympy-15017,sympy/tensor/array/ndim_array.py,114,2
sympy__sympy-15976,sympy/printing/mathml.py,63,-1
sympy__sympy-16792,sympy/utilities/codegen.py,38,4
sympy__sympy-17655,sympy/geometry/point.py,29,1
sympy__sympy-17655,sympy/geometry/point.py,30,11
sympy__sympy-17655,sympy/geometry/point.py,31,19
sympy__sympy-17655,sympy/geometry/point.py,43,24
sympy__sympy-17655,sympy/geometry/point.py,52,24
sympy__sympy-18211,sympy/solvers/inequalities.py,71,-3
sympy__sympy-18211,sympy/solvers/inequalities.py,111,-2
sympy__sympy-19346,sympy/printing/repr.py,20,1
sympy__sympy-19783,sympy/physics/quantum/dagger.py,38,12
sympy__sympy-19783,sympy/physics/quantum/operator.py,39,3
sympy__sympy-19783,sympy/physics/quantum/dagger.py,86,12
sympy__sympy-20154,sympy/utilities/iterables.py,16,-10
sympy__sympy-20428,sympy/polys/densetools.py,28,1
sympy__sympy-20438,sympy/sets/sets.py,57,10
sympy__sympy-20438,sympy/sets/sets.py,103,10
sympy__sympy-21379,sympy/core/mod.py,38,1
sympy__sympy-21596,sympy/sets/handlers/intersection.py,69,-1
sympy__sympy-21596,sympy/sets/handlers/intersection.py,71,-5
sympy__sympy-22080,sympy/printing/pycode.py,87,12
sympy__sympy-22456,sympy/core/basic.py,87,2
sympy__sympy-22456,sympy/codegen/ast.py,111,1
sympy__sympy-22456,sympy/codegen/ast.py,112,2
sympy__sympy-22456,sympy/core/basic.py,114,3
sympy__sympy-22456,sympy/core/basic.py,115,1
sympy__sympy-22456,sympy/codegen/ast.py,120,4
sympy__sympy-24066,sympy/physics/units/unitsystem.py,37,2
sympy__sympy-24213,sympy/physics/units/unitsystem.py,61,1
sympy__sympy-24443,sympy/combinatorics/homomorphisms.py,25,-14
sympy__sympy-24562,sympy/core/numbers.py,20,3
sympy__sympy-24661,sympy/parsing/sympy_parser.py,20,6
sympy__sympy-24661,sympy/parsing/sympy_parser.py,21,27
